
0, 0, 0, 0, 1, 0, 0, 0, 0, 160, 
0, 0, 0, 0, 1, 0, 0, 0, 0, 160, 
0, 0, 0, 0, 1, 0, 0, 0, 0, 160, 
0, 0, 0, 0, 1, 0, 0, 0, 0, 160, 
46, 30, 0, 201, 4, 7, 7, 19, 0, 48, 
126, 64, 0, 375, 4, 8, 8, 20, 0, 112, 
126, 64, 0, 375, 4, 8, 8, 20, 0, 112, 
126, 64, 0, 375, 4, 8, 8, 20, 0, 112, 
126, 64, 0, 375, 4, 8, 8, 20, 0, 112, 
126, 64, 0, 375, 4, 8, 8, 20, 0, 112, 
126, 64, 0, 375, 4, 8, 8, 20, 0, 112, 
126, 64, 0, 375, 4, 8, 8, 20, 0, 112, 
126, 64, 0, 375, 4, 7, 7, 19, 0, 112, 
126, 64, 0, 375, 4, 8, 8, 20, 0, 112, 
151, 75, 1, 450, 4, 8, 8, 20, 0, 112, 
176, 86, 1, 525, 4, 8, 8, 20, 0, 112, 
201, 97, 1, 600, 4, 8, 8, 20, 0, 48, 
226, 108, 1, 675, 4, 8, 8, 20, 0, 48, 
251, 120, 1, 750, 4, 8, 8, 20, 0, 48, 
276, 132, 1, 828, 4, 8, 8, 20, 0, 48, 
301, 144, 2, 909, 4, 8, 8, 20, 0, 112, 
326, 156, 2, 990, 4, 8, 8, 20, 0, 112, 
355, 168, 2, 1071, 4, 8, 8, 20, 0, 112, 
376, 180, 3, 1152, 4, 9, 9, 23, 0, 112, 
401, 195, 3, 1233, 4, 10, 10, 26, 0, 112, 
436, 204, 4, 1311, 4, 11, 11, 27, 0, 112, 
451, 217, 4, 1386, 4, 10, 10, 26, 0, 112, 
482, 234, 3, 1464, 4, 9, 9, 22, 0, 112, 
501, 235, 3, 1500, 4, 9, 9, 22, 0, 112, 
501, 236, 3, 1500, 4, 9, 9, 22, 0, 112, 
501, 235, 3, 1500, 4, 9, 9, 22, 0, 112, 
501, 235, 3, 1500, 4, 9, 9, 22, 0, 112, 
501, 235, 3, 1500, 4, 8, 8, 20, 0, 112, 
501, 235, 3, 1500, 4, 8, 8, 20, 0, 112, 
501, 235, 3, 1500, 4, 9, 9, 22, 0, 112, 
501, 235, 3, 1500, 4, 9, 9, 22, 0, 112, 
501, 235, 3, 1500, 4, 9, 9, 22, 0, 112, 
501, 235, 3, 1500, 4, 9, 9, 22, 0, 112, 
501, 235, 3, 1500, 4, 9, 9, 22, 0, 112, 
497, 234, 3, 1473, 4, 9, 9, 22, 0, 112, 
467, 228, 3, 1395, 4, 9, 9, 23, 0, 112, 
449, 214, 4, 1320, 4, 11, 11, 27, 0, 112, 
419, 200, 3, 1239, 4, 11, 11, 27, 0, 112, 
389, 191, 3, 1161, 4, 10, 10, 24, 0, 112, 
371, 177, 2, 1086, 4, 8, 8, 20, 0, 112, 
341, 162, 2, 1014, 4, 8, 8, 20, 0, 112, 
313, 150, 2, 936, 4, 8, 8, 20, 0, 112, 
293, 139, 2, 861, 4, 8, 8, 20, 0, 112, 
264, 126, 1, 789, 4, 7, 7, 19, 0, 112, 
238, 114, 1, 711, 4, 8, 8, 20, 0, 112, 
215, 103, 1, 639, 4, 8, 8, 20, 0, 112, 
189, 92, 1, 564, 4, 8, 8, 20, 0, 112, 
163, 80, 1, 486, 4, 8, 8, 20, 0, 112, 
139, 69, 0, 414, 4, 7, 7, 19, 0, 112, 
126, 64, 0, 375, 4, 8, 8, 20, 0, 112, 
116, 63, 0, 339, 6, 7, 7, 19, 0, 48, 
72, 38, 0, 186, 6, 8, 8, 20, 0, 48, 
17, 14, 0, 33, 6, 7, 7, 19, 0, 176, 
0, 7, 0, 0, 6, 10, 10, 24, 0, 176, 
0, 0, 0, 0, 1, 0, 0, 0, 0, 160, 
